;loinc_num;long_common_name;component;system;property;combined_col;removed_punc;tokens;clean_tokens;pos_tag;clean_text;query;rank
121;33386-4;Segmented neutrophils/100 leukocytes in Synovial fluid;Neutrophils.segmented/100 leukocytes;Synv fld;NFr;Segmented neutrophils/100 leukocytes in Synovial fluidNeutrophils.segmented/100 leukocytesSynv fldproperty;Segmented neutrophils100 leukocytes in Synovial fluidNeutrophilssegmented100 leukocytesSynv fldproperty;['segmented', 'neutrophils100', 'leukocytes', 'in', 'synovial', 'fluidneutrophilssegmented100', 'leukocytessynv', 'fldproperty'];['segmented', 'neutrophils100', 'leukocytes', 'synovial', 'fluidneutrophilssegmented100', 'leukocytessynv', 'fldproperty'];[('segmented', 'VBN'), ('neutrophils100', 'JJ'), ('leukocytes', 'NNS'), ('in', 'IN'), ('synovial', 'JJ'), ('fluidneutrophilssegmented100', 'NN'), ('leukocytessynv', 'NN'), ('fldproperty', 'NN')];segmented neutrophils100 leukocytes synovial fluidneutrophilssegmented100 leukocytessynv fldproperty;glucose in blood;0
122;14039-2;Neutrophils/100 leukocytes in Cerebral spinal fluid by Microscopy;Neutrophils/100 leukocytes;CSF;NFr;Neutrophils/100 leukocytes in Cerebral spinal fluid by MicroscopyNeutrophils/100 leukocytesCSFproperty;Neutrophils100 leukocytes in Cerebral spinal fluid by MicroscopyNeutrophils100 leukocytesCSFproperty;['neutrophils100', 'leukocytes', 'in', 'cerebral', 'spinal', 'fluid', 'by', 'microscopyneutrophils100', 'leukocytescsfproperty'];['neutrophils100', 'leukocytes', 'cerebral', 'spinal', 'fluid', 'microscopyneutrophils100', 'leukocytescsfproperty'];[('neutrophils100', 'JJ'), ('leukocytes', 'NNS'), ('in', 'IN'), ('cerebral', 'JJ'), ('spinal', 'JJ'), ('fluid', 'NN'), ('by', 'IN'), ('microscopyneutrophils100', 'NN'), ('leukocytescsfproperty', 'NN')];neutrophils100 leukocytes cerebral spinal fluid microscopyneutrophils100 leukocytescsfproperty;glucose in blood;0
123;54413-0;Transfuse leukocyte-poor plateletpheresis units [#];Transfuse leukocyte-poor plateletpheresis units;^BPU;Num;Transfuse leukocyte-poor plateletpheresis units [#]Transfuse leukocyte-poor plateletpheresis units^BPUproperty;Transfuse leukocytepoor plateletpheresis units Transfuse leukocytepoor plateletpheresis unitsBPUproperty;['transfuse', 'leukocytepoor', 'plateletpheresis', 'units', 'transfuse', 'leukocytepoor', 'plateletpheresis', 'unitsbpuproperty'];['transfuse', 'leukocytepoor', 'plateletpheresis', 'units', 'transfuse', 'leukocytepoor', 'plateletpheresis', 'unitsbpuproperty'];[('transfuse', 'NN'), ('leukocytepoor', 'JJ'), ('plateletpheresis', 'NN'), ('units', 'NNS'), ('transfuse', 'VBP'), ('leukocytepoor', 'JJ'), ('plateletpheresis', 'NN'), ('unitsbpuproperty', 'NN')];transfuse leukocytepoor plateletpheresis units transfuse leukocytepoor plateletpheresis unitsbpuproperty;glucose in blood;0
124;54415-5;Transfuse leukocyte-poor platelets units [#];Transfuse leukocyte-poor platelets units;^BPU;Num;Transfuse leukocyte-poor platelets units [#]Transfuse leukocyte-poor platelets units^BPUproperty;Transfuse leukocytepoor platelets units Transfuse leukocytepoor platelets unitsBPUproperty;['transfuse', 'leukocytepoor', 'platelets', 'units', 'transfuse', 'leukocytepoor', 'platelets', 'unitsbpuproperty'];['transfuse', 'leukocytepoor', 'platelets', 'units', 'transfuse', 'leukocytepoor', 'platelets', 'unitsbpuproperty'];[('transfuse', 'NN'), ('leukocytepoor', 'JJ'), ('platelets', 'NNS'), ('units', 'NNS'), ('transfuse', 'VBP'), ('leukocytepoor', 'JJ'), ('platelets', 'NNS'), ('unitsbpuproperty', 'JJ')];transfuse leukocytepoor platelets units transfuse leukocytepoor platelets unitsbpuproperty;glucose in blood;0
125;30420-4;Large granular lymphocytes/100 leukocytes in Blood;Lymphocytes.large granular/100 leukocytes;Bld;NFr;Large granular lymphocytes/100 leukocytes in BloodLymphocytes.large granular/100 leukocytesBldproperty;Large granular lymphocytes100 leukocytes in BloodLymphocyteslarge granular100 leukocytesBldproperty;['large', 'granular', 'lymphocytes100', 'leukocytes', 'in', 'bloodlymphocyteslarge', 'granular100', 'leukocytesbldproperty'];['large', 'granular', 'lymphocytes100', 'leukocytes', 'bloodlymphocyteslarge', 'granular100', 'leukocytesbldproperty'];[('large', 'JJ'), ('granular', 'JJ'), ('lymphocytes100', 'NN'), ('leukocytes', 'NNS'), ('in', 'IN'), ('bloodlymphocyteslarge', 'NN'), ('granular100', 'NN'), ('leukocytesbldproperty', 'NN')];large granular lymphocytes100 leukocytes bloodlymphocyteslarge granular100 leukocytesbldproperty;glucose in blood;1
126;13046-8;Variant lymphocytes/100 leukocytes in Blood;Lymphocytes.variant/100 leukocytes;Bld;NFr;Variant lymphocytes/100 leukocytes in BloodLymphocytes.variant/100 leukocytesBldproperty;Variant lymphocytes100 leukocytes in BloodLymphocytesvariant100 leukocytesBldproperty;['variant', 'lymphocytes100', 'leukocytes', 'in', 'bloodlymphocytesvariant100', 'leukocytesbldproperty'];['variant', 'lymphocytes100', 'leukocytes', 'bloodlymphocytesvariant100', 'leukocytesbldproperty'];[('variant', 'JJ'), ('lymphocytes100', 'NN'), ('leukocytes', 'NNS'), ('in', 'IN'), ('bloodlymphocytesvariant100', 'NN'), ('leukocytesbldproperty', 'NN')];variant lymphocytes100 leukocytes bloodlymphocytesvariant100 leukocytesbldproperty;glucose in blood;1
127;74459-9;Immature granulocytes/100 leukocytes in Blood from Fetus;Granulocytes.immature/100 leukocytes;Bld^Fetus;NFr;Immature granulocytes/100 leukocytes in Blood from FetusGranulocytes.immature/100 leukocytesBld^Fetusproperty;Immature granulocytes100 leukocytes in Blood from FetusGranulocytesimmature100 leukocytesBldFetusproperty;['immature', 'granulocytes100', 'leukocytes', 'in', 'blood', 'from', 'fetusgranulocytesimmature100', 'leukocytesbldfetusproperty'];['immature', 'granulocytes100', 'leukocytes', 'blood', 'fetusgranulocytesimmature100', 'leukocytesbldfetusproperty'];[('immature', 'NN'), ('granulocytes100', 'NN'), ('leukocytes', 'VBZ'), ('in', 'IN'), ('blood', 'NN'), ('from', 'IN'), ('fetusgranulocytesimmature100', 'JJ'), ('leukocytesbldfetusproperty', 'NN')];immature granulocytes100 leukocytes blood fetusgranulocytesimmature100 leukocytesbldfetusproperty;glucose in blood;1
128;26508-2;Band form neutrophils/100 leukocytes in Blood;Neutrophils.band form/100 leukocytes;Bld;NFr;Band form neutrophils/100 leukocytes in BloodNeutrophils.band form/100 leukocytesBldproperty;Band form neutrophils100 leukocytes in BloodNeutrophilsband form100 leukocytesBldproperty;['band', 'form', 'neutrophils100', 'leukocytes', 'in', 'bloodneutrophilsband', 'form100', 'leukocytesbldproperty'];['band', 'form', 'neutrophils100', 'leukocytes', 'bloodneutrophilsband', 'form100', 'leukocytesbldproperty'];[('band', 'NN'), ('form', 'NN'), ('neutrophils100', 'NN'), ('leukocytes', 'VBZ'), ('in', 'IN'), ('bloodneutrophilsband', 'NN'), ('form100', 'NN'), ('leukocytesbldproperty', 'NN')];band form neutrophils100 leukocytes bloodneutrophilsband form100 leukocytesbldproperty;glucose in blood;1
129;6291-9;Complement iC3b receptors [Presence] in Leukocytes;Complement iC3b receptors;WBC;PrThr;Complement iC3b receptors [Presence] in LeukocytesComplement iC3b receptorsWBCproperty;Complement iC3b receptors Presence in LeukocytesComplement iC3b receptorsWBCproperty;['complement', 'ic3b', 'receptors', 'presence', 'in', 'leukocytescomplement', 'ic3b', 'receptorswbcproperty'];['complement', 'ic3b', 'receptors', 'presence', 'leukocytescomplement', 'ic3b', 'receptorswbcproperty'];[('complement', 'NN'), ('ic3b', 'NN'), ('receptors', 'NNS'), ('presence', 'NN'), ('in', 'IN'), ('leukocytescomplement', 'JJ'), ('ic3b', 'NN'), ('receptorswbcproperty', 'NN')];complement ic3b receptors presence leukocytescomplement ic3b receptorswbcproperty;glucose in blood;0
130;27906-7;Immature lymphocytes/100 leukocytes in Amniotic fluid;Lymphocytes.immature/100 leukocytes;Amnio fld;NFr;Immature lymphocytes/100 leukocytes in Amniotic fluidLymphocytes.immature/100 leukocytesAmnio fldproperty;Immature lymphocytes100 leukocytes in Amniotic fluidLymphocytesimmature100 leukocytesAmnio fldproperty;['immature', 'lymphocytes100', 'leukocytes', 'in', 'amniotic', 'fluidlymphocytesimmature100', 'leukocytesamnio', 'fldproperty'];['immature', 'lymphocytes100', 'leukocytes', 'amniotic', 'fluidlymphocytesimmature100', 'leukocytesamnio', 'fldproperty'];[('immature', 'NN'), ('lymphocytes100', 'NN'), ('leukocytes', 'VBZ'), ('in', 'IN'), ('amniotic', 'JJ'), ('fluidlymphocytesimmature100', 'NN'), ('leukocytesamnio', 'NN'), ('fldproperty', 'NN')];immature lymphocytes100 leukocytes amniotic fluidlymphocytesimmature100 leukocytesamnio fldproperty;glucose in blood;0
131;33371-6;Variant lymphocytes/100 leukocytes in Synovial fluid;Lymphocytes.variant/100 leukocytes;Synv fld;NFr;Variant lymphocytes/100 leukocytes in Synovial fluidLymphocytes.variant/100 leukocytesSynv fldproperty;Variant lymphocytes100 leukocytes in Synovial fluidLymphocytesvariant100 leukocytesSynv fldproperty;['variant', 'lymphocytes100', 'leukocytes', 'in', 'synovial', 'fluidlymphocytesvariant100', 'leukocytessynv', 'fldproperty'];['variant', 'lymphocytes100', 'leukocytes', 'synovial', 'fluidlymphocytesvariant100', 'leukocytessynv', 'fldproperty'];[('variant', 'JJ'), ('lymphocytes100', 'NN'), ('leukocytes', 'NNS'), ('in', 'IN'), ('synovial', 'JJ'), ('fluidlymphocytesvariant100', 'NN'), ('leukocytessynv', 'NN'), ('fldproperty', 'NN')];variant lymphocytes100 leukocytes synovial fluidlymphocytesvariant100 leukocytessynv fldproperty;glucose in blood;0
132;30118-4;IgA lymphocytes [#/volume] in Leukocytes;Lymphocytes.IgA;WBC;NCnc;IgA lymphocytes [#/volume] in LeukocytesLymphocytes.IgAWBCproperty;IgA lymphocytes volume in LeukocytesLymphocytesIgAWBCproperty;['iga', 'lymphocytes', 'volume', 'in', 'leukocyteslymphocytesigawbcproperty'];['iga', 'lymphocytes', 'volume', 'leukocyteslymphocytesigawbcproperty'];[('iga', 'JJ'), ('lymphocytes', 'NNS'), ('volume', 'NN'), ('in', 'IN'), ('leukocyteslymphocytesigawbcproperty', 'NN')];iga lymphocytes volume leukocyteslymphocytesigawbcproperty;glucose in blood;0
133;30120-0;IgD lymphocytes [#/volume] in Leukocytes;Lymphocytes.IgD;WBC;NCnc;IgD lymphocytes [#/volume] in LeukocytesLymphocytes.IgDWBCproperty;IgD lymphocytes volume in LeukocytesLymphocytesIgDWBCproperty;['igd', 'lymphocytes', 'volume', 'in', 'leukocyteslymphocytesigdwbcproperty'];['igd', 'lymphocytes', 'volume', 'leukocyteslymphocytesigdwbcproperty'];[('igd', 'JJ'), ('lymphocytes', 'NNS'), ('volume', 'NN'), ('in', 'IN'), ('leukocyteslymphocytesigdwbcproperty', 'NN')];igd lymphocytes volume leukocyteslymphocytesigdwbcproperty;glucose in blood;0
134;30113-5;IgG lymphocytes [#/volume] in Leukocytes;Lymphocytes.IgG;WBC;NCnc;IgG lymphocytes [#/volume] in LeukocytesLymphocytes.IgGWBCproperty;IgG lymphocytes volume in LeukocytesLymphocytesIgGWBCproperty;['igg', 'lymphocytes', 'volume', 'in', 'leukocyteslymphocytesiggwbcproperty'];['igg', 'lymphocytes', 'volume', 'leukocyteslymphocytesiggwbcproperty'];[('igg', 'JJ'), ('lymphocytes', 'NNS'), ('volume', 'NN'), ('in', 'IN'), ('leukocyteslymphocytesiggwbcproperty', 'NN')];igg lymphocytes volume leukocyteslymphocytesiggwbcproperty;glucose in blood;0
135;30119-2;IgM lymphocytes [#/volume] in Leukocytes;Lymphocytes.IgM;WBC;NCnc;IgM lymphocytes [#/volume] in LeukocytesLymphocytes.IgMWBCproperty;IgM lymphocytes volume in LeukocytesLymphocytesIgMWBCproperty;['igm', 'lymphocytes', 'volume', 'in', 'leukocyteslymphocytesigmwbcproperty'];['igm', 'lymphocytes', 'volume', 'leukocyteslymphocytesigmwbcproperty'];[('igm', 'JJ'), ('lymphocytes', 'NNS'), ('volume', 'NN'), ('in', 'IN'), ('leukocyteslymphocytesigmwbcproperty', 'NN')];igm lymphocytes volume leukocyteslymphocytesigmwbcproperty;glucose in blood;0
136;4523-7;Complement iC3b receptors [Entitic number] in Leukocytes;Complement iC3b receptors;WBC;EntNum;Complement iC3b receptors [Entitic number] in LeukocytesComplement iC3b receptorsWBCproperty;Complement iC3b receptors Entitic number in LeukocytesComplement iC3b receptorsWBCproperty;['complement', 'ic3b', 'receptors', 'entitic', 'number', 'in', 'leukocytescomplement', 'ic3b', 'receptorswbcproperty'];['complement', 'ic3b', 'receptors', 'entitic', 'number', 'leukocytescomplement', 'ic3b', 'receptorswbcproperty'];[('complement', 'NN'), ('ic3b', 'NN'), ('receptors', 'NNS'), ('entitic', 'JJ'), ('number', 'NN'), ('in', 'IN'), ('leukocytescomplement', 'JJ'), ('ic3b', 'NN'), ('receptorswbcproperty', 'NN')];complement ic3b receptors entitic number leukocytescomplement ic3b receptorswbcproperty;glucose in blood;0
137;6290-1;Complement membrane C3b-C4b cofactor protein [Presence] in Leukocytes;Complement membrane C3b-C4b cofactor protein;WBC;PrThr;Complement membrane C3b-C4b cofactor protein [Presence] in LeukocytesComplement membrane C3b-C4b cofactor proteinWBCproperty;Complement membrane C3bC4b cofactor protein Presence in LeukocytesComplement membrane C3bC4b cofactor proteinWBCproperty;['complement', 'membrane', 'c3bc4b', 'cofactor', 'protein', 'presence', 'in', 'leukocytescomplement', 'membrane', 'c3bc4b', 'cofactor', 'proteinwbcproperty'];['complement', 'membrane', 'c3bc4b', 'cofactor', 'protein', 'presence', 'leukocytescomplement', 'membrane', 'c3bc4b', 'cofactor', 'proteinwbcproperty'];[('complement', 'NN'), ('membrane', 'NN'), ('c3bc4b', 'NN'), ('cofactor', 'NN'), ('protein', 'NN'), ('presence', 'NN'), ('in', 'IN'), ('leukocytescomplement', 'JJ'), ('membrane', 'NN'), ('c3bc4b', 'NN'), ('cofactor', 'NN'), ('proteinwbcproperty', 'NN')];complement membrane c3bc4b cofactor protein presence leukocytescomplement membrane c3bc4b cofactor proteinwbcproperty;glucose in blood;0
138;6294-3;Deprecated Complement C3d-C3d+Gg-IC3b receptors [Entitic number] in Leukocytes;Complement C3d-C3d+Gg-IC3b receptors;WBC;EntNum;Deprecated Complement C3d-C3d+Gg-IC3b receptors [Entitic number] in LeukocytesComplement C3d-C3d+Gg-IC3b receptorsWBCproperty;Deprecated Complement C3dC3dGgIC3b receptors Entitic number in LeukocytesComplement C3dC3dGgIC3b receptorsWBCproperty;['deprecated', 'complement', 'c3dc3dggic3b', 'receptors', 'entitic', 'number', 'in', 'leukocytescomplement', 'c3dc3dggic3b', 'receptorswbcproperty'];['deprecated', 'complement', 'c3dc3dggic3b', 'receptors', 'entitic', 'number', 'leukocytescomplement', 'c3dc3dggic3b', 'receptorswbcproperty'];[('deprecated', 'VBN'), ('complement', 'NN'), ('c3dc3dggic3b', 'NN'), ('receptors', 'NNS'), ('entitic', 'JJ'), ('number', 'NN'), ('in', 'IN'), ('leukocytescomplement', 'JJ'), ('c3dc3dggic3b', 'NN'), ('receptorswbcproperty', 'NN')];deprecated complement c3dc3dggic3b receptors entitic number leukocytescomplement c3dc3dggic3b receptorswbcproperty;glucose in blood;0
139;4496-6;Deprecated Complement C3d-C3d+Gg-IC3b receptors [Presence] in Leukocytes;Complement C3d-C3d+Gg-IC3b receptors;WBC;PrThr;Deprecated Complement C3d-C3d+Gg-IC3b receptors [Presence] in LeukocytesComplement C3d-C3d+Gg-IC3b receptorsWBCproperty;Deprecated Complement C3dC3dGgIC3b receptors Presence in LeukocytesComplement C3dC3dGgIC3b receptorsWBCproperty;['deprecated', 'complement', 'c3dc3dggic3b', 'receptors', 'presence', 'in', 'leukocytescomplement', 'c3dc3dggic3b', 'receptorswbcproperty'];['deprecated', 'complement', 'c3dc3dggic3b', 'receptors', 'presence', 'leukocytescomplement', 'c3dc3dggic3b', 'receptorswbcproperty'];[('deprecated', 'VBN'), ('complement', 'NN'), ('c3dc3dggic3b', 'NN'), ('receptors', 'NNS'), ('presence', 'NN'), ('in', 'IN'), ('leukocytescomplement', 'JJ'), ('c3dc3dggic3b', 'NN'), ('receptorswbcproperty', 'NN')];deprecated complement c3dc3dggic3b receptors presence leukocytescomplement c3dc3dggic3b receptorswbcproperty;glucose in blood;0
140;4525-2;Complement membrane C3b-C4b cofactor protein [Entitic number] in Leukocytes;Complement membrane C3b-C4b cofactor protein;WBC;EntNum;Complement membrane C3b-C4b cofactor protein [Entitic number] in LeukocytesComplement membrane C3b-C4b cofactor proteinWBCproperty;Complement membrane C3bC4b cofactor protein Entitic number in LeukocytesComplement membrane C3bC4b cofactor proteinWBCproperty;['complement', 'membrane', 'c3bc4b', 'cofactor', 'protein', 'entitic', 'number', 'in', 'leukocytescomplement', 'membrane', 'c3bc4b', 'cofactor', 'proteinwbcproperty'];['complement', 'membrane', 'c3bc4b', 'cofactor', 'protein', 'entitic', 'number', 'leukocytescomplement', 'membrane', 'c3bc4b', 'cofactor', 'proteinwbcproperty'];[('complement', 'NN'), ('membrane', 'NN'), ('c3bc4b', 'NN'), ('cofactor', 'NN'), ('protein', 'NN'), ('entitic', 'JJ'), ('number', 'NN'), ('in', 'IN'), ('leukocytescomplement', 'JJ'), ('membrane', 'NN'), ('c3bc4b', 'NN'), ('cofactor', 'NN'), ('proteinwbcproperty', 'NN')];complement membrane c3bc4b cofactor protein entitic number leukocytescomplement membrane c3bc4b cofactor proteinwbcproperty;glucose in blood;0
141;1766-5;Aldosterone receptors [#] in Leukocytes;Aldosterone receptors;WBC;Num;Aldosterone receptors [#] in LeukocytesAldosterone receptorsWBCproperty;Aldosterone receptors  in LeukocytesAldosterone receptorsWBCproperty;['aldosterone', 'receptors', 'in', 'leukocytesaldosterone', 'receptorswbcproperty'];['aldosterone', 'receptors', 'leukocytesaldosterone', 'receptorswbcproperty'];[('aldosterone', 'NN'), ('receptors', 'NNS'), ('in', 'IN'), ('leukocytesaldosterone', 'NN'), ('receptorswbcproperty', 'NN')];aldosterone receptors leukocytesaldosterone receptorswbcproperty;glucose in blood;0
142;1988-5;C reactive protein [Mass/volume] in Serum or Plasma;C reactive protein;Ser/Plas;MCnc;C reactive protein [Mass/volume] in Serum or PlasmaC reactive proteinSer/Plasproperty;C reactive protein Massvolume in Serum or PlasmaC reactive proteinSerPlasproperty;['c', 'reactive', 'protein', 'massvolume', 'in', 'serum', 'or', 'plasmac', 'reactive', 'proteinserplasproperty'];['c', 'reactive', 'protein', 'massvolume', 'serum', 'plasmac', 'reactive', 'proteinserplasproperty'];[('c', 'NNS'), ('reactive', 'VBP'), ('protein', 'NN'), ('massvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmac', 'VB'), ('reactive', 'JJ'), ('proteinserplasproperty', 'NN')];c reactive protein massvolume serum plasmac reactive proteinserplasproperty;bilirubin in plasma;0
143;1959-6;Bicarbonate [Moles/volume] in Blood;Bicarbonate;Bld;SCnc;Bicarbonate [Moles/volume] in BloodBicarbonateBldproperty;Bicarbonate Molesvolume in BloodBicarbonateBldproperty;['bicarbonate', 'molesvolume', 'in', 'bloodbicarbonatebldproperty'];['bicarbonate', 'molesvolume', 'bloodbicarbonatebldproperty'];[('bicarbonate', 'NN'), ('molesvolume', 'NN'), ('in', 'IN'), ('bloodbicarbonatebldproperty', 'NN')];bicarbonate molesvolume bloodbicarbonatebldproperty;bilirubin in plasma;0
144;10331-7;Rh [Type] in Blood;Rh;Bld;Type;Rh [Type] in BloodRhBldproperty;Rh Type in BloodRhBldproperty;['rh', 'type', 'in', 'bloodrhbldproperty'];['rh', 'type', 'bloodrhbldproperty'];[('rh', 'NN'), ('type', 'NN'), ('in', 'IN'), ('bloodrhbldproperty', 'NN')];rh type bloodrhbldproperty;bilirubin in plasma;0
145;18998-5;Trimethoprim+Sulfamethoxazole [Susceptibility];Trimethoprim+Sulfamethoxazole;Isolate;Susc;Trimethoprim+Sulfamethoxazole [Susceptibility]Trimethoprim+SulfamethoxazoleIsolateproperty;TrimethoprimSulfamethoxazole SusceptibilityTrimethoprimSulfamethoxazoleIsolateproperty;['trimethoprimsulfamethoxazole', 'susceptibilitytrimethoprimsulfamethoxazoleisolateproperty'];['trimethoprimsulfamethoxazole', 'susceptibilitytrimethoprimsulfamethoxazoleisolateproperty'];[('trimethoprimsulfamethoxazole', 'JJ'), ('susceptibilitytrimethoprimsulfamethoxazoleisolateproperty', 'NN')];trimethoprimsulfamethoxazole susceptibilitytrimethoprimsulfamethoxazoleisolateproperty;bilirubin in plasma;0
146;1975-2;Bilirubin.total [Mass/volume] in Serum or Plasma;Bilirubin;Ser/Plas;MCnc;Bilirubin.total [Mass/volume] in Serum or PlasmaBilirubinSer/Plasproperty;Bilirubintotal Massvolume in Serum or PlasmaBilirubinSerPlasproperty;['bilirubintotal', 'massvolume', 'in', 'serum', 'or', 'plasmabilirubinserplasproperty'];['bilirubintotal', 'massvolume', 'serum', 'plasmabilirubinserplasproperty'];[('bilirubintotal', 'JJ'), ('massvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmabilirubinserplasproperty', 'NN')];bilirubintotal massvolume serum plasmabilirubinserplasproperty;bilirubin in plasma;1
147;890-4;Blood group antibody screen [Presence] in Serum or Plasma;Blood group antibody screen;Ser/Plas;ACnc;Blood group antibody screen [Presence] in Serum or PlasmaBlood group antibody screenSer/Plasproperty;Blood group antibody screen Presence in Serum or PlasmaBlood group antibody screenSerPlasproperty;['blood', 'group', 'antibody', 'screen', 'presence', 'in', 'serum', 'or', 'plasmablood', 'group', 'antibody', 'screenserplasproperty'];['blood', 'group', 'antibody', 'screen', 'presence', 'serum', 'plasmablood', 'group', 'antibody', 'screenserplasproperty'];[('blood', 'NN'), ('group', 'NN'), ('antibody', 'NN'), ('screen', 'JJ'), ('presence', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmablood', 'NN'), ('group', 'NN'), ('antibody', 'NN'), ('screenserplasproperty', 'NN')];blood group antibody screen presence serum plasmablood group antibody screenserplasproperty;bilirubin in plasma;0
148;20565-8;Carbon dioxide, total [Moles/volume] in Blood;Carbon dioxide;Bld;SCnc;Carbon dioxide, total [Moles/volume] in BloodCarbon dioxideBldproperty;Carbon dioxide total Molesvolume in BloodCarbon dioxideBldproperty;['carbon', 'dioxide', 'total', 'molesvolume', 'in', 'bloodcarbon', 'dioxidebldproperty'];['carbon', 'dioxide', 'total', 'molesvolume', 'bloodcarbon', 'dioxidebldproperty'];[('carbon', 'NN'), ('dioxide', 'NN'), ('total', 'JJ'), ('molesvolume', 'NN'), ('in', 'IN'), ('bloodcarbon', 'NN'), ('dioxidebldproperty', 'NN')];carbon dioxide total molesvolume bloodcarbon dioxidebldproperty;bilirubin in plasma;0
149;18906-8;Ciprofloxacin [Susceptibility];Ciprofloxacin;Isolate;Susc;Ciprofloxacin [Susceptibility]CiprofloxacinIsolateproperty;Ciprofloxacin SusceptibilityCiprofloxacinIsolateproperty;['ciprofloxacin', 'susceptibilityciprofloxacinisolateproperty'];['ciprofloxacin', 'susceptibilityciprofloxacinisolateproperty'];[('ciprofloxacin', 'NN'), ('susceptibilityciprofloxacinisolateproperty', 'NN')];ciprofloxacin susceptibilityciprofloxacinisolateproperty;bilirubin in plasma;0
150;2143-6;Cortisol [Mass/volume] in Serum or Plasma;Cortisol;Ser/Plas;MCnc;Cortisol [Mass/volume] in Serum or PlasmaCortisolSer/Plasproperty;Cortisol Massvolume in Serum or PlasmaCortisolSerPlasproperty;['cortisol', 'massvolume', 'in', 'serum', 'or', 'plasmacortisolserplasproperty'];['cortisol', 'massvolume', 'serum', 'plasmacortisolserplasproperty'];[('cortisol', 'NN'), ('massvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmacortisolserplasproperty', 'NN')];cortisol massvolume serum plasmacortisolserplasproperty;bilirubin in plasma;0
151;2075-0;Chloride [Moles/volume] in Serum or Plasma;Chloride;Ser/Plas;SCnc;Chloride [Moles/volume] in Serum or PlasmaChlorideSer/Plasproperty;Chloride Molesvolume in Serum or PlasmaChlorideSerPlasproperty;['chloride', 'molesvolume', 'in', 'serum', 'or', 'plasmachlorideserplasproperty'];['chloride', 'molesvolume', 'serum', 'plasmachlorideserplasproperty'];[('chloride', 'NN'), ('molesvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmachlorideserplasproperty', 'NN')];chloride molesvolume serum plasmachlorideserplasproperty;bilirubin in plasma;0
152;4671-4;Protein C [Mass/volume] in Plasma;Protein C;Plas;MCnc;Protein C [Mass/volume] in PlasmaProtein CPlasproperty;Protein C Massvolume in PlasmaProtein CPlasproperty;['protein', 'c', 'massvolume', 'in', 'plasmaprotein', 'cplasproperty'];['protein', 'c', 'massvolume', 'plasmaprotein', 'cplasproperty'];[('protein', 'NN'), ('c', 'NN'), ('massvolume', 'NN'), ('in', 'IN'), ('plasmaprotein', 'NN'), ('cplasproperty', 'NN')];protein c massvolume plasmaprotein cplasproperty;bilirubin in plasma;0
153;18864-9;Ampicillin [Susceptibility];Ampicillin;Isolate;Susc;Ampicillin [Susceptibility]AmpicillinIsolateproperty;Ampicillin SusceptibilityAmpicillinIsolateproperty;['ampicillin', 'susceptibilityampicillinisolateproperty'];['ampicillin', 'susceptibilityampicillinisolateproperty'];[('ampicillin', 'NN'), ('susceptibilityampicillinisolateproperty', 'NN')];ampicillin susceptibilityampicillinisolateproperty;bilirubin in plasma;0
154;15076-3;Glucose [Moles/volume] in Urine;Glucose;Urine;SCnc;Glucose [Moles/volume] in UrineGlucoseUrineproperty;Glucose Molesvolume in UrineGlucoseUrineproperty;['glucose', 'molesvolume', 'in', 'urineglucoseurineproperty'];['glucose', 'molesvolume', 'urineglucoseurineproperty'];[('glucose', 'JJ'), ('molesvolume', 'NN'), ('in', 'IN'), ('urineglucoseurineproperty', 'NN')];glucose molesvolume urineglucoseurineproperty;bilirubin in plasma;0
155;1798-8;Amylase [Enzymatic activity/volume] in Serum or Plasma;Amylase;Ser/Plas;CCnc;Amylase [Enzymatic activity/volume] in Serum or PlasmaAmylaseSer/Plasproperty;Amylase Enzymatic activityvolume in Serum or PlasmaAmylaseSerPlasproperty;['amylase', 'enzymatic', 'activityvolume', 'in', 'serum', 'or', 'plasmaamylaseserplasproperty'];['amylase', 'enzymatic', 'activityvolume', 'serum', 'plasmaamylaseserplasproperty'];[('amylase', 'NN'), ('enzymatic', 'JJ'), ('activityvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmaamylaseserplasproperty', 'NN')];amylase enzymatic activityvolume serum plasmaamylaseserplasproperty;bilirubin in plasma;0
156;26474-7;Lymphocytes [#/volume] in Blood;Lymphocytes;Bld;NCnc;Lymphocytes [#/volume] in BloodLymphocytesBldproperty;Lymphocytes volume in BloodLymphocytesBldproperty;['lymphocytes', 'volume', 'in', 'bloodlymphocytesbldproperty'];['lymphocytes', 'volume', 'bloodlymphocytesbldproperty'];[('lymphocytes', 'NNS'), ('volume', 'NN'), ('in', 'IN'), ('bloodlymphocytesbldproperty', 'NN')];lymphocytes volume bloodlymphocytesbldproperty;bilirubin in plasma;0
